Date,Total,Adults,Children
Jul-14,3258,2509,749
Nov-14,3607,2720,887
Dec-14,3738,2858,880
Jan-15,3845,2980,865
Feb-15,3908,2970,938
Mar-15,4135,3081,1054
Apr-15,4261,3143,1118
May-15,4345,3134,1211
Jun-15,4576,3258,1318
Jul-15,4668,3285,1383
Aug-15,4868,3372,1496
Sept-15,4998,3428,1570
Oct-15,5101,3463,1638
Nov-15,5324,3615,1709
Dec-15,5241,3625,1616
Jan-16,5715,3885,1830
Feb-16,5811,3930,1881
Mar-16,5963,3969,1994
Apr-16,6189,4068,2121
May-16,6170,3993,2177
Jun-16,6358,4152,2206
Jul-16,6525,4177,2348
Aug-16,6611,4248,2363
Sept-16,6709,4283,2426
Oct-16,6847,4377,2470
Nov-16,6985,4436,2549
Dec-16,7148,4643,2505
Jan-17,7167,4760,2407
Feb-17,7421,4875,2546
Mar-17,7552,4909,2643
Apr-17,7680,4972,2708
May-17,7699,4922,2777
Jun-17,7941,5046,2895
Jul-17,8160,5187,2973
Aug-17,8270,5222,3048
Sept-17,8374,5250,3124
Oct-17,8492,5298,3194
Nov-17,8857,5524,3333
Dec-17,8587,5508,3079
Jan-18,9104,5837,3267
Feb-18,9807,6052,3755
Mar-18,9681,6035,3646
Apr-18,9652,5963,3689
May-18,9846,6020,3826
Jun-18,9872,6048,3824
Jul-18,9891,6024,3867
Aug-18,9527,5834,3693
Sept-18,9698,5869,3829
Oct-18,9724,5999,3725
Nov-18,9968,6157,3811
Dec-18,9753,6194,3559
Jan-19,9987,6363,3624
Feb-19,10264,6480,3784
Mar-19,10305,6484,3821
Apr-19,10378,6584,3794
May-19,10179,6504,3675
Jun-19,10246,6497,3749
Jul-19,10275,6497,3778
Aug-19,10338,6490,3848
Sept-19,10397,6524,3873
Oct-19,10514,6688,3826
Nov-19,10448,6696,3752
Dec-19,9731,6309,3422
Jan-20,10271,6697,3574
Feb-20,10148,6614,3534
Mar-20,9907,6552,3355
Apr-20,9335,6262,3073
May-20,8876,6089,2787
Jun-20,8699,6046,2653
Jul-20,8728,6077,2651
Aug-20,8702,6082,2620
Sept-20,8656,6073,2583
Oct-20,8737,6095,2642
Nov-20,8484,6032,2452
Dec-20,8200,5873,2327
Jan-21,8313,5987,2326
Feb-21,8238,5974,2264
Mar-21,8060,5894,2166
Apr-21,8082,5889,2193
May-21,7991,5843,2148
Jun-21,8014,5847,2167
Jul-21,8132,6003,2129
Aug-21,8212,6023,2189
Sept-21,8475,6131,2344
Oct-21,8830,6317,2513
Nov-21,9099,6551,2548
Dec-21,8914,6463,2451
Jan-22,9150,6587,2563
Feb-22,9492,6825,2667
Mar-22,9825,7014,2811
Apr-22,10049,7105,2944
May-22,10325,7297,3028
Jun-22,10492,7421,3071
Jul-22,10568,7431,3137
Aug-22,10805,7585,3220
Sept-22,10975,7633,3342
Oct-22,11397,7917,3480
Nov-22,11542,8048,3494
Dec-22,11632,8190,3442
Jan-23,11754,8323,3431
Feb-23,11742,8369,3373
Mar-23,11988,8516,3472
Apr-23,12259,8665,3594
May-23,12441,8742,3699
Jun-23,12600,8835,3765
Jul-23,12847,9018,3829
Aug-23,12691,8796,3895
Sept-23,12827,8923,3904
Oct-23,13179,9188,3991
Nov-23,13514,9409,4105
Dec-23,13318,9356,3962
Jan-24,13531,9504,4027
Feb-24,13841,9671,4170
Mar-24,13866,9719,4147
Apr-24,14010,9796,4214
May-24,14159,9843,4316
Jun-24,14303,9899,4404
Jul-24,14429,10028,4401
Aug-24,14486,10067,4419
Sept-24,14760,10199,4561
Oct-24,14966,10321,4645
